text,bad,toxic,non-toxic
What&#39;s the data that is stored in blocks? i am confused,0,,
"Sorry but my knowledge of ths topic did not improve. Please explain what block , hash means also.",0,,
Can a super computer cheat this blockchain?,0,,
Very clear explanationI&#39;m interestion in knowing more about the use of blockchain to collect taxes,0,,
Wow... You made understand very well.,0,,
why does this shit have to be so hard to understand,0,,
It works just like a digital ponzi scheme.,0,,
What is a block exactly?,0,,
Prove of work (i.e. proof of waste) can safely be replaced with proof of stake. Faster and basically no elcetric bill. Shame that Bitcoin doesnt use that yet.,0,,
why don&#39;t you explain it to me like I&#39;m 5.,1,,
Blockchain logic is RACIST !,1,,
Now to find a discussion of the problems of block chain-------exponential storage energy  and resources?,0,,
Doesn&#39;t this mean that the chain gets longer and longer meaning that eventually it will be too big to calculate?,0,,
I wonder how many of the viewers got rich after 4 years,0,,
Wasnt it supposed to be simple??,0,,
So a block would be 1 coin?,0,,
"Just wanted to say I&#39;m citing your video in a paper I&#39;m writing for my health information systems class. My professor also showed your video in class one day a month or two after I had found it. Needless to say, this video has been quite helpful for explaining blockchain in a way which is easy to understand lol. Thanks!",0,,
At 4:08 it says &quot;when someone creates a new block&quot;. Can anyone please answer why someone would want to create a new block? What purpose will that block server?,0,,
one of best explanation i have ever seen. thanks for making it so simple.,0,,
"This was very good, but left me with a couple questions. How is mining done, I think I understand that it is the act of processing these transactions and generating the proof of work, but then somehow a bitcoin gets created and given to you for your &quot;work&quot; but at some point there will be no more bitcoins available, so why would anyone do the work of processing the proof of work anymore, and how would the ledger stay current?",0,,
So it&#39;s kinda like a linked list.  Great video!,0,,
@... Blockchain = a virtualized  handshake ... wow !!! :D ...  dencentralized ... wow!!! :D .... everything you need  preventing eyecontact with Hitler ... for one eyecontact at least 1000 Watts ... and then your toilet also can send message about the color of your shit,0,,
Pure explanation,0,,
thankyou very much,0,,
Bitcoin will be zer0 by 2023,0,,
"TL;DR “ Block chain is a chain of blocks” Okay, DONE!",0,,
Intresting how these conversations were being had and most had no idea of it. Now this tech has become so wildly mainstream that most (me lol) are playing catch-up trying to better understand this all.,0,,
Thank you for the amazing video!,0,,
This video is so amazing!!. But I have to add one more sentence. It is unbelievable that you can provide such a complex technology in 5 minutes like a pill!,0,,
"Thank you for giving me information about blockchain. Theoretically, it looks so secure and wonderful, because it can assure that exchange can&#39;t never be changed. Hopefully, blockchain, which is such a great tool, will become a main component of any monetary system in the world.",0,,
May I know is blockchain included in data science?,0,,
I’m still confused how making each block ten minutes stops tampering,0,,
"Simply and clearly explained, great content",0,,
Great job! THANK YOU,0,,
This video  for people who won&#39;t to learn how to make block chain app,0,,
E-notary?,0,,
Hi,0,,
This was so easy btw is it okay if I use these screenshots for my presentation?,0,,
"Congratulations, simplicity at its best, I have read articles about it that failed to mention some of the points you mentioned in your video. Looking fwd to continue learning from you. Great job!",0,,
Who are buy these pollution coins - that is what they are.  There are data centres pushing out billions of tons of CO 2 just to produce one of these so called bit coins.  In the UK it is the equivalent of 6 months electricity bill.  They are a disgrace and anyone who cares about our planet should get rid of them.  How the hell in these times of global warming has someone manged to produce an energy token.  It is rubbish to say renewable energy is used to make them.  Switch that renewable energy to national grids and stop more pollution.  What a folly these things are.  Please rename then to global warming coins.,0,,
What is the amount to deposit in BNB??,0,,
Still don’t get it…what exactly is a block? Is it one transaction or a bundle of many?,0,,
Great video!,0,,
You&#39;re great!,0,,
Great video!,0,,
Oh very good clarification. Subscribe for sure !!!,0,,
So a linked list using hash pointerzzzzz thx for the knowledge,0,,
yo! can I link this video to help further educate people?,0,,
what IF you tramper with the first block/hash  and copy /paste rewrite all other blocks.,0,,
What graphics software are you using?,0,,
"The way blockchain is evolving, it&#39;s almost like developers realize they need a framework for a customisable table of data that&#39;s quick, efficient, scalable, flexible, and easy to integrate. Will probably call it a BoD (base of data). Actually, database sounds better. That&#39;s what we need, a database.",0,,
https://youtu.be/wWk0w4mzA60,0,,
This is fire !!!!!!!!!!!!!!  love it .,0,,
I love music,0,,
Greatest video of all time,0,,
fucking with the coinbase pro got Zcash ;),0,,
Aye man yall heard that money man Diss song from that Savannah nigga he got a video of him beating money man up and all look  https://youtu.be/9Wqc70hMlvU,1,,
First banger I&#39;ve heard out him in a min....puttin in work,0,,
Lmbo,0,,
What love this track,0,,
Awww u bot are scared of my info for crypto,0,,
Xlm,0,,
Xrp,0,,
Vxv,0,,
Vechain,0,,
Why dont YouTube bots just delete every comment.,0,,
I cant wait for a decentralized youtube,0,,
Xin fin xdc,0,,
Steller xlm,0,,
Ripple xrp,0,,
Why cant i write cryptos i like,0,,
Iota,0,,
Algo,0,,
Xdc,0,,
Xlm,0,,
Xrp,0,,
Whaaaaaaaaaaaaat yeeeeessssssssssIiiiiii looove it,0,,
,0,,
Nah this shit slaps too hard,0,,
Them last 2 bass slaps at 154-155.,0,,
Big dawg too hard keep goin big dawg,0,,
Blockchain husslin,0,,
everything to do with blockchain and crypto...,0,,
every since his first album it seem like he been rappin about my life,0,,
How you gon name your song blockchain but dunno how to talk that shit?  The disrespect to niggas who really move through these chains is unreal,1,,
Bought a lil Dogedi Bought a lil Shib,,,
Money man a goat fr,,,
This song is dope,,,
Ayye let&#39;s go!,,,
unbelievable,,,
Never listen to song by money man that fell off man never misses money man 2022 u anit know how big brother coming,,,
Why people say this fell off,,,
What the duck,,,
️️️,,,
who&#39;s gettin that crypto money,,,
,,,
https://youtu.be/LnCr2In8JsI,,,
https://youtu.be/LnCr2In8JsI,,,
This is some straight up heat you did it on this one money man fo shoo. I bet some people listening to this song and don’t even know what the block chain is,,,
#CrownzUp166,,,
is he speaking english?,,,
"Brooo this is a vibe, everything about it was perfect!+1",,,
All hail $main,,,
This is on repeat while the market is open.,,,
VECHAIN SAFEMOON,,,
org man you&#39;re crazy you have too much breath,,,
alt coins in the red im gett em half offfffffffffffffffffff,,,
This the one,,,
I see you dirty love,,,
️,,,
2022,,,
this song be having my 2.12s twerking,,,
Little Rabbit Token to the moooooooon,,,
He bacccc!!!,,,
SHIBA to the moon,,,
SAFEMOON V2,,,
Free bag facts,,,
#SafeMoon,,,
This song hit different  instrumentals sick,,,
Tight.,,,
Just got into crypto this shit hit different now,,,
goat,,,
,,,
Yae Yae,,,
This song is sooo fireeeee brooo fuckkkk,,,
I start making a lot of coin since I start investing with this platform (the name above),,,
I start making a lot of coin since I start investing with this platform (the name above),,,
Every time I hit off stocks or crypto. I pipe up to this shit and do some push ups,,,
Heyyyyyy,,,
Big thanks,,,
Coins went crazy today,,,
Where the NFT at for this,,,
Anybody else Robinhood tripping?,,,
Money Man 2.0,,,
Yoooooooooooooo,,,
You go girl  Now don’t come back,,,
On crypto gang boaa,,,
I LOVE THIS SONG,,,
Digital Currency is the Future ...,,,
Robinhood bag,,,
ARAB PUNKZ NFT RAID PASSING BY,,,
You must gain control over your money or the lack of it will forever control you. --Dave Ramsey,,,
* buys $10 of bitcoin *&quot;knee deep in tha game bruh&quot;,,,
"&quot;..alt coins in the red, ima get em half off&quot;   buy the dip, sell the rip....if you know, you know.",,,
ayo who edited this,,,
"Scammers for Money Man, Money Man for the scammers",,,
Money man is GOD,,,
BUY $SHIB AND DOGELON MARS!!!!,,,
Dnt let Empire do Money Man the same way shit ain&#39;t no coincidence,,,
lmfao money man loves the codes,,,
This guy is a legend before his time protect money man ! Although he good!,,,
Your videos are amazing and very helpful. I am a 41 year old father of 5 that&#39;s busts my but everyday doing electrical. A few years ago I got into crypto and been trying to figure trading out on my own but ended up investing instead with Markenstech911com . Your videos are a big help! Glad I could figure it out and was able to get out of debt and be with my kids more often.,,,
"Extremely point by point video  Well I will also say this here, Most people don&#39;t understand the concept of &quot;buying the dip&quot; buying the dip is all about buying digital assets when their prices are down and selling off when the price rises. Holding is great, although trading is far more profitable. I was able to grasp the knowledge of trading crypt0 assets early enough, but I was still limited due to my lack of technical understanding of how to analyze the digital market, all that changed when I encountered markenstech911com , I must confess it was easier to understand with the assistance of  Kendall that has made me over good ᴄoin.",,,
"Extremely point by point video  Well I will also say this here, Most people don&#39;t understand the concept of &quot;buying the dip&quot; buying the dip is all about buying digital assets when their prices are down and selling off when the price rises. Holding is great, although trading is far more profitable. I was able to grasp the knowledge of trading crypt0 assets early enough, but I was still limited due to my lack of technical understanding of how to analyze the digital market, all that changed when I encountered Markenstech911com , I must confess it was easier to understand with the assistance of  Kendall that has made me over good ᴄoin.",,,
"I love this video because he gives real strategies for growth of your holdings during unstable market times or even downward market periods.  However his explanation for why crypto is staked is let’s say imperfect.  Staking is a replacement and upgrade to traditional mining and less energy intensive.  It returns value similar to mining.  Without having a server/GPU farm.  Proof of stake is the next generation of coin creation and value creation. Bur before then, I&#39;ve been trading with Markenstech911com and it&#39;s very profitable",,,
Your videos are amazing and very helpful. I am a 41 year old father of 5 that&#39;s busts my but everyday doing electrical. A few years ago I got into crypto and been trying to figure trading out on my own but ended up investing instead with Markenstech911com . Your videos are a big help! Glad I could figure it out and was able to get out of debt and be with my kids more often.,,,
"Thank you for being there Markenstech911com when I wanted you ton..... I was lost in this new world that I was hassled to start with ....you not only guided me along the way but you also showed me the proper way....whatever little I have been able to achieve in life is because of you today ..... I want to thank you for being there and showing me the proper way of doing thing for me you are my best guide as you truly showed me the way to life....once again , I would like to tell you a heartfelt thanks for being there.",,,
"I greatly appreciate your honesty and how this worked out for you. I’m trying to learn this and integrate this strategy into my portfolio, just wanna do it right. This helps a lot. Learning what not to do is as valuable as learning what to do, this video provides both but later on I was convinced to try out packages of Markenstech911com which have yielded lot more profits.",,,
"I greatly appreciate your honesty and how this worked out for you. I’m trying to learn this and integrate this strategy into my portfolio, just wanna do it right. This helps a lot. Learning what not to do is as valuable as learning what to do, this video provides both but later on I was convinced to try out packages of markenstech911com which have yielded lot more profits.",,,
Why does she sound like Mark Zuckerbergs sister,,,
"PLEASE BE WARNED: If you see comments here about investing or brokers, they are SCAMS. Videos about cryptocurrencies, evidently including ones that are just about the underlying technology/math, are hotbeds for attracting nefarious actors preying on the impressionable.",,,
"Money is an issue that everyone has for a better and luxurious life. life was hard for me until I started Bitcoin and I&#39;m now earning $9,500 per week.",,,
I HAVE INCURRED SO MUCH LOSSES TRADING ON MY OWN... TRADE WELL ON DEMO BUTI THINK THE REAL MARKET IS MANIPULATED... CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I&#39;M DOING WRONG ?,,,
My understanding was worse than a teenager,,,
"Since 2017 the Blockchain became a little outdated. Since that time new technologies popped up, ex: hashgraph and a bunch of new ones will be designed soon. It&#39;s all crypto. Blockchain was just a flash in the night that awakened the gen &quot;crypto&quot; and attracted their attention. The Crypto will transform the World entirely as the Internet.",,,
quantum computing + IoT will be huge for the blockchain especially when it comes to hashing,,,
We are now in the age of the digital gold rush. And the companies that sell digital shovels get the benefits.,,,
She NEVER blinks. WT actual F?,,,
You are the best services in the world,,,
You are the best services in the world,,,
This is improved my understanding of blockchain technology. Thank you!,,,
5:45 great question!,,,
"I don&#39;t even think she knows how to explain what Blockchain is, it is so complicated.",,,
Can you update the captions?,,,
In real life the teenager would be telling the adult what it is,,,
13:48 thanks a lot John Mayer,,,
amazing,,,
"wait don&#39;t just look directly at the camera with those eyes and smile while saying &quot;humans, robots, and eventually other entities&quot; what other entities? huh? what do you know that we don&#39;t",,,
"With all respect she is trying to sell the concept insted of explaining it ... which is the exact issue why it is rightfully not trusted by a lot of people. Also her point of wiew is far too futuristic and ignorant to the ways it could backfire due to the greedyness and maliciousness of people (just like the concept of communism) ... people are not robots, and will never be ... people are far more creative at breaking and exploiting things selfishly than she is willing to accept this fact (based on this video)",,,
"It&#39;s like this real world, one only can append new memories, and cannot alter old memories.If one tries to alter history, rest of the people on this world will deny it.",,,
Her eyes are dead,,,
Thanks,,,
that teen was coached! ;),,,
why were there no computer scientists?,,,
"She sounds more like she’s selling it than explaining it. The child actor had an off day, happens to the best",,,
How does cryptocurrency obtain its value? How can you trade it for real money? Who produces cryptocurrency? Is there a infinite or finite amount of cryptocurrency such as Bitcoin?,,,
she&#39;s an excellent listener,,,
Explained very well I like that idea of 5 levels,,,
"Wtf did they even talk about in lvl 5, sounded like a convo between two higher dimension beings",,,
"This video is doing great job, it intent to let a human with 0 knowledge of “what is blockchain” getting understand step by step. It DOESNT mean all conversation are dumb except the expert one",,,
"I want to stay anonymous so I switched accounts. I am 14 years old and now I know that I am smarter than an average college economics student. Wow. And I thought I would die after making a Web 3.0 website, hold by doge",,,
can we please get an bitcoin &amp; etherium episode for this,,,
i love how every video like this feels like theyre in the set of the matrix...oh wait,,,
She’s so beautiful with amazing pleasant smile &amp; accent.,,,
SolarMineX token,,,
This lady is basically a female version of Zuckerberg,,,
Is it just me or the host&#39;s voice sounds like Karen Gillan,,,
"There is no one in the middle. Cool. Then who is maintaining it and making sure that it keeps ahead of hacking and cryptology?Also, thinking that trusting lots of people is safer than trusting just a few people, imagining that allows you to forgo regulations and oversight is literally how the sub prime mortgage crisis happened.",,,
Nice teeth,,,
I like how the expert on Blockchain is an historian,,,
Heavy Theranos Vibes,,,
"I see more to this than just buying crypto, my mentor also made mention that to me. More jobs are required is required",,,
Congratulations  to me I got my dream car after investing with this team above,,,
Congratulations  to me I got my dream car after flipping with this team above,,,
MUCH RESPECT TO THIS TEAM,,,
MUCH RESPECT TO THIS TEAM,,,
TO BE HONEST I DON’T KNOW HOWYOU MANAGE TO DO SUCH A GOOD JOB EVERY SINGLE TIME.VERY WELL DONE,,,
TO BE HONEST I DON’T KNOW HOWYOU MANAGE TO DO SUCH A GOOD JOB EVERY SINGLE TIME.VERY WELL DONE,,,
"My sincere gratitude to this teamfor being such a blessing to me and my family we owe this happiness to you, thank you once again",,,
"My sincere gratitude to this teamfor being such a blessing to me and my family we owe this happiness to you, thank you once again",,,
"My sincere gratitude to this teamfor being such a blessing to me and my family we owe this happiness to you, thank you once again",,,
I can’t stop loving  youfor another successful of 2BTC into my blockchain you guys are legends,,,
I can’t stop loving  youfor another successful of 2BTC into my blockchain you guys are legends,,,
I can’t stop loving  youfor another successful of 2BTC into my blockchain you guys are legends,,,
This video is evidence that Econ and Business degree programs need classes on blockchain and cryptocurrencies.,,,
Interesting. We are out of debt now because investing is synchronized coordinated extraction measuring.,,,
Mommy,,,
isnt the middle man for blockchain things like open sea or whatever those sites are,,,
WOW i love this!!!,,,
How is the expert not a software engineer or database engineer?,,,
"When you choose a college student that isn&#39;t in the space you&#39;re explaining, and you&#39;re using space-specific terminology, your explanation needs to adjust accordingly.",,,
"Bettina, is an amazing and engaging evangelist. As an evangelist for tech myself, I have to admire the poise and enthusiasm.",,,
If people on banks are scam us right know... believe what people would do when they get this power on us...,,,
How does this make life easier? You can cut out the middle man but in most cases the middle makes the transaction easier.,,,
"I wish they&#39;d use some basic props eg coffee table = ebay, plant = laptop; right now you have to put plant on table for buyer to give seller what they want in exchange. Crypto lets you bypass table and exchange plant directly between the two. Benefit is that if table gets pulled away, you can still continue to trade.Visuals &gt;&gt;&gt;&gt; verbal, especially for kids",,,
First time I watched this video it went in one ear and out the other. All I knew was Bitcoin. Revisiting the videos a year later and learning about other cryptos and use cases it’s like know how to read when in the past all I knew was the alphabets.,,,
whispers “REALLY?! needs to become a meme stat,,,
"Crypto currencies is gradually moving towards something big and the price surge over the past few months is just the beginning of greater things to come. I&#39;ve been in search of a sincere professional forex/Bitcoin trader who can manage my trading account and generate profits for me, I&#39;m tired of making too many losses any recomendations Please?",,,
"To sum it up: If you can’t participate in developing it (the blockchain) on your own, you really don’t get it.",,,
Spell/Usdt,,,
Blockchain is NOT a ‘new technology’. The idea has been around since 1982. New technology = latest impenetrable jargon buzzword we can fool ignoramuses with.This woman is doing an advertisement for her company. Nothing more.,,,
"If there can be unlimited brands and types of crytocurrency etc Bitcoin1, Bitcoin2, Bitcoin 3... then the currency loses value.",,,
Lol she’s terrible with children,,,
Is she Mark Zuckerberg&#39;s clone?,,,
Imagine being an economics major and literally not knowing what crypto is,,,
"Would Blockchain be able to continue if one of its miners dies? If yes, how so?",,,
#Dogezilla Pode sim ti deixar Milhonário em 2022  Voçê não pode ficar de fora!!!,,,
"But if you have to buy crypto on Coinbase or binance, isn’t there still a middle man?",,,
9:49,,,
"How to become a billionaire. Do not chase money, do not chase problem, Create one and sell the solution.",,,
Bettinas make up is sooo good she looks like unreal E digital human,,,
"Curious how the expert become a Kid, completely excited while explaining what he loves. Funny thing is that&#39;s when most of the information was grasped and perfectly delivered.",,,
I wish I bought Ethereum when this video was released,,,
I wonder if that kid still trusts eBay. That kinda trust doesn&#39;t last long.,,,
"excellent video, thanks",,,
I love how passionate she is about it. You can hear in her voice how much she loves cryptocurrency,,,
"It’s strange how people talk about all the profits, they have been making through trading of crypto, while am here making huge losses. Please can someone put me through on the right path or at least advise me on what strategy to follow.",,,
"Did anyone else catch what he was referring to @ 15:01? Every new technology will start with the idea of improving and helping the greater good but will ALWAYS be ultimately used to control people. He says this can be used to &quot;clear out &#39;bad actors&#39;...&quot; That sounds good in a conversation sitting on a couch but when this day comes who will define who are the bad actors? If you don&#39;t ask that question you will either become the bully, the toady or one of their victims.",,,
Nice and crisp information,,,
"This is a great base for learning blockchain. But also, that was one expensive dinner! 2 bitcoins each!",,,
public distributed ledger.,,,
I’m here in 2022 and  that he says 12.5 BTC mining reward for PoW. Early adopters are rolling in it.,,,
Thank you... You help me out with my blockchain,,,
Answer to the quiz is  hash encryption,,,
Our uni recommends this channel as an official source of self-education,,,
prove of work and hash encryption,,,
"Two Bitcoins for last night dinners contribution, what kind of dinner was that",,,
Blockchain mining is why computer graphics cards are so expensive.,,,
Public ledger,,,
A. Is the answer. Publicly distributed ledger,,,
Ups has a blockchain,,,
Now I understand,,,
Well explained,,,
2 btc for dinner  did they eat whole food of the city,,,
B,,,
2 bitcoins each for dinner. That musta been a hellava meal.....,,,
Now I understand what is Blockchain,,,
"If only you know what the future says, you&#39;llknow that indeed cryptocurrency is thefuture, investing in it now will be the wisestthing to do. Hold! And you&quot;ll thank yourself",,,
Each send two bitcoins for dinner? Must have been a good dinner,,,
"Finally, I got this ! You made this easy thank you.",,,
hash encryption,,,
Thank boss this is my first time,,,
Hash encryption,,,
the  answer is A,,,
,,,
Public distributed ledger,,,
Proof of word . Answer of these questions which have given on the watching videos,,,
A was the answer,,,
Hash encryption,,,
In 2022 that&#39;s a very expensive dinner.,,,
Public distributed Ledger,,,
Public distributed Ledger,,,
Hashing encryption,,,
PROOF OF WORK!,,,
Publically distributed ledger,,,
A- PUBLIC DISTRIBUTED LEDGER,,,
This Technology can be use in our India for Fair and Transparent Election,,,
Encryption,,,
Hash encryption.......Thanks so much,,,
proof of work,,,
The answer to the question is D. Hash encryption,,,
Great explanation..,,,
Hash encryption,,,
Understandable,,,
Hasing,,,
Hash Encryption,,,
"watched this on 2019, still watching it now",,,
D.,,,
hash encription,,,
Great explanation,,,
Public distributed ledger is the right answer,,,
"Appreciate tje way you teach, really impressive, Stay Blessed",,,
D,,,
Million dollar dinner,,,
Rewarded with 12.5 bitcoins? I wish,,,
"Trading has not been going well with me, I have invested a lot of time and failed, I traded on my own but each time I keep losing money, I don&#39;t have good strategies towards the market",,,
Is the answer a? Best video on you tube around block chain.,,,
"Nice video! I was able to build a big income stream during the covid-19 pandemic investing with a professional broker, Mrs Tracy Clack",,,
Hash encryption,,,
Answer should be option a public ledger,,,
"Great video, subscribed already",,,
thanks a lot for this explanation. Are you familiar with algorithmic trading? mercor is using that tecnique in trading and it is very profitable.,,,
Damn what did they eat to have to send that much money,,,
&quot;Technical issues at the bank&quot; as opposed to technical issues where your wallet is stored. Bad example.,,,
So that&#39;s what is mining for. I&#39;ve always wandered if it just free money for just doing nothing at all,,,
option a,,,
Hash algorithm,,,
Proof of Work.,,,
Jack I&#39;ll take that 11 Bitcoin. Thanks,,,
Definitely worthy of a new subscriber!!!!,,,
That was one heck of a dinner. Nice video. Thanks for making and sharing it!,,,
A obviously,,,
I wonder what kind of dinner jack and his friends that made them spending 8 bitcoins,,,
Public distributed ledger,,,
"What the public is still not understanding is the real value underpinning any blockchain type of web3.0 ownership tokens or ‘coins’ is real world currency like the usd. E.g. no matter how much you proclaim blockchain to rewrite the financial establishment, people trading within the blockchain system will ultimately always cash out in real exchangeable assets underpinned by a currency…So blockchain really exists so solely within the control &amp; mercy of traditional value assets like paper currency…",,,
I want to learn about NFTs and crypto and all that but I have no idea where to start I want to learn about stocks,,,
The awnser is A,,,
I will go with the option D.,,,
First option,,,
The answer to the question is D,,,
Excellent video,,,
Awesome nicely explained,,,
That&#39;s the South Park font.,,,
"Block Chain, amazing!",,,
"Never seen an explanation this detailed, nice work you doing here your videos have really helped me",,,
"I&#39;m iffy on blockchain.Decentralization sure, that seems really cool. I like the idea that we can create group oversight on transactions that doesn&#39;t require banks. But secure? It&#39;s harder to scam a system when there are many people maintaining records of it, but its not impossible. Also, the amount of energy required to have millions of people simultaneously keep records of innumerable transactions has been shown to be environmentally detrimental. This does not seem sustainable in its current form.",,,
Public Distributed Ledger is the answer for your Quiz.,,,
The first four problems they outline about bank transactions are amplified 100 X on the block chain,,,
The quiz Answer is A,,,
great explanation,,,
B,,,
2 Bitcoins each? Damn that’s an expensive meal…,,,
That’s an expensive dinner,,,
sigma rule no ; 1  plss pin the answers in the comments,,,
Public distributed ledger,,,
D,,,
Holy shit that was an expensive dinner,,,
"No, I have never wondered if there&#39;s an easier way to complete transactions. Swiping my debit card was never difficult. I feel like the most difficult part of a money transaction is actually getting the person to pay you.",,,
"Trading with Mr Eward Willie was never a regret to me , All thanks to him, he is the best I have ever seen.",,,
hola,,,
"You made it so much easier for me to get my $10,000 ,otherwise, I would have to wait for at least a couple of more months. From the bottom of my heart, a very sincere thank you. People like you are what we truly become to aspire.",,,
Can you send money from your cash app or debit card? It&#39;s there a video explaining that process?,,,
If all 21 mlj bitcoins are mined who is gonna keep the network/ blockchain up?,,,
"I  genuinely appreciate your great team for the service you render , I just received the funds now",,,
A successful transactions is done  by the best crew for the job I made 6k on mine too,,,
Jet aren&#39;t fast enough with the way their investment scheme work I got 5btc investing too,,,
Yes I also work with them  they are perfect in what they do Yes I also work with them  they are perfect in what they do,,,
"You are the reason why I smile always , I really appreciate the effort you render",,,
Tap in with  they help in any cryptocurrencies issues and investment scheme,,,
I bless the day I meet this source,,,
"thanks for the help sir I got the 5btc in my wallet now , the above name as been my source of income",,,
I got help dealing with  you are the best in the world,,,
Contact the above name I got the help through them,,,
You have influence my life in such a positive way word can ever Express I got the help without stress th,,,
Everything work as plan dealing with the above name the are the best crew I ever meet,,,
It is a complete transactions working with this great crew,,,
It is a complete transactions working with this great crew,,,
I genuinely appreciate your support  I just confirm the payment I will forever be greatful,,,
I personally advice you all to start dealing and investing with this pro,,,
"I believe &lt; that the inflation is already priced in crypto market since the end of last year. These manipulative rats are always two steps ahead of everybody because they are market makers. I hope I’m wrong and they won’t keep dumping it on retail investors as always. Those who hold the longest will profit the most, I trade and hold profits keep up the great work! and also Christoph Hoffmann has been doing a great job reviewing all chart, trade and techniques on BTC which has enhance the growth of my portfolio to 17 BTC lately,&lt;You can reach Christoph Hoffmann on ͲeIєɠɾαm Christophsignals.",,,
"Successful people don&#39;t become that way overnight. What most people see at a glance wealth, a great career, purpose is the result of hard work.",,,
Such an epic video thank you,,,
this came out in 2018. whoever watched it had a chance of getting in early,,,
Check guy called Sam Lee...He is the best in this field,,,
It is great to have the biggest and the most advanced projects which use block chain technology,,,
Thank you for the information... It was really helpful,,,
This was 3 years ago I came from 2022 this technology made millionaires last year! Pay attention to this video,,,
,,,
this dude is amazing I literally discover he&#39;s a perfect one my is currently working......,,,
this dude is amazing I literally discover he&#39;s a perfect one my is currently working......,,,
Thanks,,,
"This is the time to invest in society did you miss the entire message ? We are able to create and manage service based token society’s. In a way social currency is becoming more of a reality ! The metrics used today are baseless and represent an industrial revolution style attitude. There is too much dissociative behavior happening. Central and 3rd party agencies have created a system of corruption, greed , consumption, life should not be a competitive race to be the richest, biggest , smartest! It’s a journey that we all share collectively and it’s time we take our lives back! We’re currently under a fiat system of imaginary numbers created by invisible hands with no transparency. We work hard to pay taxes that are used to bail out these centralized systems run by profit !",,,
Dump it all,,,
"This is really a great video, but as for me i make huge profits on my investment since i started trading with Mrs. Ashley Rebecca, her trading strategies are top notch",,,
"I&#39;m no longer waiting for the stimulus checkbecause I earn $22,000 every 14-16 day&#39;s",,,
Underrated,,,
Bad for the monarchy,,,
The success behind my profit earning in bitcoin Investment is not solely on my skills but by the help of Investing with an expert.,,,
"My advice for everyone investing in crypto now should connect their wallet because it seems now hackers get into your wallet without traces, thats why name on youtube explains it all.Note dont fall a victim of scam there no such thing like airdrops or give away.",,,
